Complaint_ID,Complaint_Date,Customer_ID,Product_ID,Employee_ID,Region_ID,Complaint_Type,Priority,Status,SLA_Hours,Resolution_Hours,Customer_Rating
CMP000065,2025-06-01,C00482,P0120,E0089,R008,Product Quality,High,Closed,24,62,4
CMP000066,2026-04-01,C00239,P0028,E0012,R004,Billing Issue,Critical,Pending,24,111,
CMP000067,2025-12-28,C00252,P0045,E0120,R002,Billing Issue,Low,Closed,48,9,2
CMP000068,2025-07-18,C00020,P0086,E0016,R002,Billing Issue,Medium,Closed,72,54,1
CMP000069,2026-05-13,C00543,P0044,E0047,R003,Delivery Delay,Critical,Closed,24,83,5
CMP000070,2025-09-07,C00096,P0086,E0087,R002,Damaged Product,Low,Open,72,104,
CMP000071,2025-09-13,C00467,P0047,E0044,R001,Delivery Delay,Medium,Closed,72,131,5
CMP000072,2026-08-13,C00143,P0056,E0027,R008,Delivery Delay,Critical,Closed,48,71,1
CMP000073,2026-03-01,C00041,P0054,E0001,R002,Refund Delay,Medium,Closed,48,61,3
CMP000074,2026-04-27,C00510,P0037,E0035,R002,Delivery Delay,Low,Closed,72,30,4
CMP000075,2025-06-14,C00557,P0069,E0035,R002,Billing Issue,High,Closed,48,39,3
CMP000076,2025-06-01,C00132,P0027,E0076,R008,Delivery Delay,High,Closed,48,100,3
CMP000077,2026-05-18,C00470,P0046,E0099,R008,Damaged Product,Low,Closed,48,18,2
CMP000078,2026-02-18,C00449,P0102,E0073,R006,Billing Issue,Low,Closed,24,9,1
CMP000080,2026-08-12,C00336,P0057,E0030,R003,Product Quality,Medium,Closed,48,10,4
CMP000081,2026-05-03,C00112,P0004,E0024,R002,Wrong Product,Medium,Closed,24,25,2
CMP000082,2026-07-15,C00483,P0127,E0119,R002,Damaged Product,Low,Closed,72,24,5
CMP000083,2025-11-04,C00528,P0084,E0042,R005,Refund Delay,Low,Closed,48,96,1
CMP000084,2025-10-20,C00046,P0126,E0106,R007,Refund Delay,Medium,Closed,24,123,5
CMP000085,2025-07-16,C00508,P0141,E0029,R006,Billing Issue,Medium,Closed,72,8,2
CMP000086,2026-06-29,C00521,P0015,E0032,R001,Damaged Product,Critical,Closed,72,63,2
CMP000087,2026-05-23,C00580,P0011,E0120,R002,Wrong Product,Medium,Closed,72,63,2
CMP000088,2025-06-18,C00047,P0077,E0079,R001,Wrong Product,High,Open,24,140,
CMP000089,2026-05-10,C00522,P0041,E0027,R008,Billing Issue,High,Open,72,102,
CMP000090,2025-12-09,C00154,P0115,E0063,R004,Wrong Product,Low,Closed,72,75,1
CMP000091,2026-07-21,C00185,P0126,E0004,R008,Product Quality,Critical,Closed,72,40,3
CMP000092,2025-11-19,C00138,P0140,E0050,R005,Product Quality,Critical,Closed,72,10,4
CMP000093,2026-02-14,C00464,P0030,E0116,R008,Product Quality,Low,Closed,48,137,3
CMP000094,2025-10-15,C00482,P0037,E0115,R005,Delivery Delay,High,Closed,48,92,5
CMP000095,2025-08-20,C00211,P0017,E0027,R008,Product Quality,Critical,Closed,72,43,1
CMP000097,2025-07-22,C00597,P0144,E0012,R004,Product Quality,Medium,Closed,48,112,1
CMP000098,2025-11-27,C00468,P0078,E0019,R002,Product Quality,Low,Closed,72,137,4
CMP000099,2026-07-25,C00505,P0057,E0035,R002,Damaged Product,Medium,Closed,24,49,2
CMP000100,2026-05-06,C00036,P0064,E0080,R001,Damaged Product,High,Closed,72,122,4
CMP000101,2026-07-28,C00290,P0080,E0076,R008,Damaged Product,High,Closed,48,46,1
CMP000102,2025-08-04,C00110,P0072,E0047,R003,Wrong Product,Low,Pending,48,121,
CMP000103,2025-09-04,C00446,P0029,E0055,R005,Product Quality,Critical,Closed,72,116,3
CMP000104,2026-03-14,C00289,P0061,E0037,R004,Wrong Product,Low,Closed,24,11,2
CMP000105,2026-07-07,C00012,P0068,E0029,R006,Billing Issue,Critical,Closed,72,114,3
CMP000106,2025-08-09,C00022,P0001,E0099,R008,Billing Issue,Low,Closed,48,70,5
CMP000107,2025-06-14,C00246,P0058,E0098,R003,Wrong Product,High,Closed,72,11,1
CMP000108,2025-09-26,C00049,P0104,E0088,R006,Product Quality,Medium,Closed,48,54,3
CMP000109,2026-01-15,C00015,P0054,E0057,R001,Delivery Delay,Critical,Closed,24,71,1
CMP000110,2026-07-14,C00338,P0123,E0056,R003,Product Quality,Critical,Pending,72,84,
CMP000111,2026-05-04,C00457,P0051,E0073,R006,Damaged Product,Critical,Closed,24,76,3
CMP000112,2026-04-27,C00125,P0105,E0100,R005,Refund Delay,High,Closed,48,22,2
CMP000113,2026-01-17,C00301,P0052,E0071,R007,Billing Issue,Medium,Closed,72,97,5
CMP000114,2026-02-09,C00073,P0121,E0037,R004,Delivery Delay,High,Open,48,34,
CMP000115,2025-08-15,C00557,P0034,E0116,R008,Refund Delay,High,Closed,24,91,4
CMP000116,2025-07-10,C00418,P0092,E0015,R008,Wrong Product,Medium,Open,48,101,
CMP000117,2026-03-26,C00370,P0084,E0035,R002,Wrong Product,Medium,Closed,72,76,1
CMP000118,2025-07-12,C00542,P0127,E0028,R006,Damaged Product,High,Closed,48,102,1
CMP000119,2025-07-05,C00211,P0039,E0003,R001,Delivery Delay,Medium,Closed,72,123,5
CMP000120,2026-02-16,C00131,P0037,E0103,R001,Damaged Product,Low,Closed,48,36,2
CMP000121,2026-04-08,C00043,P0064,E0089,R008,Billing Issue,High,Open,24,6,
CMP000122,2025-12-13,C00292,P0033,E0010,R004,Billing Issue,Medium,Closed,48,113,3
CMP000123,2026-03-13,C00348,P0064,E0081,R007,Delivery Delay,Low,Closed,72,69,3
CMP000124,2026-05-17,C00516,P0134,E0101,R005,Delivery Delay,Critical,Closed,72,24,2
CMP000125,2025-12-10,C00375,P0046,E0106,R007,Product Quality,Low,Open,72,67,
CMP000126,2025-09-04,C00198,P0018,E0003,R001,Refund Delay,Critical,Closed,24,60,1
CMP000127,2025-12-30,C00401,P0042,E0023,R004,Delivery Delay,Medium,Closed,24,80,1
CMP000128,2025-08-20,C00412,P0060,E0101,R005,Damaged Product,Critical,Pending,48,125,
CMP000129,2026-04-26,C00281,P0051,E0074,R005,Refund Delay,Critical,Open,48,20,
CMP000130,2025-11-21,C00347,P0062,E0095,R005,Delivery Delay,High,Closed,48,57,1
CMP000131,2026-05-26,C00003,P0138,E0105,R005,Wrong Product,Medium,Closed,48,16,3
CMP000132,2026-05-18,C00359,P0023,E0005,R005,Refund Delay,High,Closed,72,66,3
CMP000133,2025-12-30,C00103,P0041,E0084,R006,Product Quality,High,Closed,48,15,3
CMP000134,2026-01-09,C00570,P0043,E0082,R008,Damaged Product,High,Closed,72,19,4
CMP000135,2026-06-14,C00583,P0133,E0029,R006,Damaged Product,Critical,Closed,72,97,4
CMP000136,2026-06-06,C00178,P0073,E0031,R001,Billing Issue,Critical,Closed,48,132,2
CMP000137,2026-08-05,C00446,P0095,E0083,R004,Damaged Product,High,Closed,48,134,3
CMP000138,2025-10-22,C00571,P0051,E0068,R007,Billing Issue,Low,Closed,72,138,2
CMP000139,2026-05-21,C00174,P0086,E0102,R008,Product Quality,Medium,Closed,48,79,1
CMP000140,2025-08-04,C00500,P0072,E0025,R004,Refund Delay,High,Closed,72,37,1
CMP000141,2026-05-31,C00243,P0138,E0033,R008,Damaged Product,Low,Closed,72,27,2
CMP000142,2026-07-30,C00251,P0024,E0075,R001,Refund Delay,Critical,Closed,24,123,4
CMP000143,2026-02-01,C00152,P0136,E0071,R007,Refund Delay,Critical,Closed,72,35,3
CMP000144,2025-08-19,C00569,P0090,E0079,R001,Billing Issue,Low,Closed,24,128,2
CMP000145,2026-04-18,C00525,P0041,E0014,R005,Product Quality,Medium,Closed,48,25,5
CMP000146,2026-01-22,C00235,P0032,E0110,R004,Product Quality,High,Closed,72,77,5
CMP000147,2026-05-31,C00390,P0027,E0011,R008,Billing Issue,Medium,Closed,24,45,2
CMP000148,2026-05-02,C00561,P0143,E0120,R002,Delivery Delay,Medium,Pending,48,124,
CMP000149,2026-04-19,C00579,P0113,E0031,R001,Wrong Product,Critical,Closed,48,130,4
CMP000150,2025-10-24,C00111,P0079,E0075,R001,Wrong Product,Medium,Closed,72,134,3
CMP000151,2025-10-20,C00117,P0018,E0022,R003,Billing Issue,Medium,Closed,24,92,1
CMP000152,2026-04-01,C00090,P0128,E0037,R004,Product Quality,Low,Closed,24,102,4
CMP000153,2025-07-02,C00297,P0091,E0055,R005,Product Quality,Critical,Closed,24,103,3
CMP000154,2026-06-25,C00256,P0018,E0080,R001,Refund Delay,Low,Closed,72,79,1
CMP000155,2026-05-08,C00278,P0092,E0005,R005,Refund Delay,High,Closed,24,118,2
CMP000156,2026-05-22,C00172,P0097,E0104,R001,Wrong Product,Medium,Closed,48,54,4
CMP000157,2026-03-31,C00121,P0113,E0028,R006,Damaged Product,High,Closed,24,23,1
CMP000158,2025-06-27,C00446,P0139,E0088,R006,Wrong Product,High,Closed,72,62,1
CMP000159,2025-06-29,C00281,P0038,E0101,R005,Wrong Product,Low,Closed,24,115,1
CMP000160,2025-10-05,C00575,P0017,E0076,R008,Billing Issue,High,Closed,24,16,3
CMP000161,2026-08-18,C00400,P0084,E0081,R007,Refund Delay,Low,Closed,24,27,2
CMP000162,2025-07-08,C00183,P0141,E0086,R008,Refund Delay,High,Closed,48,4,3
CMP000163,2026-06-29,C00268,P0091,E0065,R005,Refund Delay,Low,Closed,72,72,2
CMP000164,2025-10-17,C00188,P0092,E0040,R005,Refund Delay,Critical,Closed,24,110,1
CMP000165,2025-12-11,C00450,P0090,E0048,R005,Delivery Delay,High,Closed,48,125,2
CMP000166,2026-07-26,C00583,P0007,E0076,R008,Wrong Product,High,Closed,72,98,3
CMP000167,2025-12-04,C00064,P0093,E0057,R001,Billing Issue,Low,Closed,72,93,5
CMP000168,2025-09-25,C00504,P0025,E0070,R004,Delivery Delay,Critical,Closed,72,35,1
CMP000169,2026-05-25,C00546,P0032,E0096,R007,Billing Issue,Low,Closed,24,128,5
CMP000170,2025-10-21,C00173,P0033,E0050,R005,Damaged Product,High,Closed,24,37,2
CMP000172,2026-02-08,C00307,P0008,E0085,R005,Refund Delay,Critical,Open,72,112,
CMP000173,2026-03-01,C00242,P0108,E0041,R002,Refund Delay,Critical,Pending,72,84,
CMP000174,2026-02-27,C00486,P0029,E0053,R004,Billing Issue,Medium,Closed,72,9,3
CMP000175,2026-06-22,C00309,P0037,E0018,R003,Wrong Product,Low,Pending,24,35,
CMP000176,2026-06-23,C00580,P0013,E0022,R003,Delivery Delay,High,Pending,24,119,
CMP000177,2025-08-15,C00116,P0106,E0072,R001,Product Quality,Critical,Closed,48,17,5
CMP000178,2025-11-24,C00367,P0061,E0032,R001,Damaged Product,Medium,Closed,72,107,2
CMP000179,2026-01-19,C00306,P0145,E0007,R002,Wrong Product,Critical,Closed,72,57,3
CMP000180,2025-12-26,C00044,P0076,E0009,R002,Damaged Product,Medium,Closed,24,39,2
CMP000181,2025-12-24,C00413,P0111,E0100,R005,Refund Delay,High,Open,24,24,
CMP000182,2026-06-19,C00270,P0084,E0007,R002,Delivery Delay,Medium,Closed,72,71,5
CMP000183,2026-02-02,C00415,P0093,E0079,R001,Wrong Product,Medium,Closed,48,24,1
CMP000184,2026-02-13,C00063,P0002,E0102,R008,Product Quality,Critical,Closed,72,58,4
CMP000185,2026-05-20,C00532,P0106,E0090,R003,Billing Issue,Critical,Open,24,133,
CMP000186,2025-06-14,C00353,P0138,E0041,R002,Delivery Delay,High,Closed,72,137,3
CMP000187,2026-03-30,C00107,P0059,E0056,R003,Billing Issue,High,Closed,24,69,3
CMP000188,2026-02-26,C00195,P0127,E0097,R001,Billing Issue,High,Closed,72,26,3
CMP000189,2026-06-01,C00167,P0128,E0050,R005,Product Quality,Low,Closed,48,25,4
CMP000190,2026-07-19,C00158,P0075,E0113,R007,Billing Issue,Medium,Closed,48,94,5
CMP000191,2025-09-06,C00113,P0101,E0082,R008,Wrong Product,Medium,Pending,48,44,
CMP000192,2025-09-11,C00361,P0027,E0044,R001,Product Quality,Low,Closed,24,125,5
CMP000193,2026-05-21,C00551,P0128,E0058,R008,Wrong Product,Medium,Closed,24,107,5
CMP000194,2026-02-07,C00302,P0087,E0105,R005,Billing Issue,Critical,Closed,72,49,5
CMP000195,2025-10-11,C00137,P0145,E0010,R004,Damaged Product,Critical,Pending,24,117,
CMP000196,2025-10-27,C00478,P0038,E0106,R007,Damaged Product,Medium,Closed,72,9,5
CMP000197,2026-08-24,C00166,P0061,E0041,R002,Damaged Product,Medium,Open,48,133,
CMP000198,2025-08-12,C00263,P0023,E0015,R008,Wrong Product,Critical,Pending,48,91,
CMP000199,2026-02-27,C00168,P0136,E0041,R002,Billing Issue,High,Closed,72,120,3
CMP000200,2026-03-20,C00303,P0109,E0045,R003,Refund Delay,High,Closed,72,57,4
CMP000201,2026-07-20,C00574,P0144,E0094,R002,Delivery Delay,High,Closed,24,58,1
CMP000202,2026-01-06,C00286,P0044,E0027,R008,Refund Delay,Low,Open,48,85,
CMP000203,2025-09-16,C00380,P0064,E0034,R001,Wrong Product,Low,Closed,24,30,2
CMP000204,2025-07-08,C00479,P0058,E0083,R004,Wrong Product,Low,Pending,72,137,
CMP000205,2026-08-17,C00353,P0109,E0020,R001,Product Quality,Low,Closed,72,131,4
CMP000206,2025-08-23,C00220,P0053,E0057,R001,Product Quality,High,Closed,72,72,5
CMP000207,2025-12-05,C00460,P0039,E0071,R007,Wrong Product,Low,Closed,24,32,5
CMP000208,2025-12-05,C00379,P0064,E0049,R006,Damaged Product,Medium,Closed,24,96,4
CMP000209,2026-01-19,C00576,P0008,E0077,R002,Wrong Product,Critical,Closed,48,25,1
CMP000210,2026-03-26,C00167,P0094,E0036,R004,Damaged Product,Medium,Open,24,123,
CMP000211,2025-08-28,C00404,P0082,E0084,R006,Refund Delay,Medium,Closed,24,34,5
CMP000212,2026-04-22,C00001,P0018,E0044,R001,Wrong Product,Low,Closed,72,71,1
CMP000213,2026-05-22,C00417,P0140,E0038,R002,Delivery Delay,Medium,Closed,72,29,3
CMP000214,2025-12-26,C00272,P0046,E0119,R002,Billing Issue,Medium,Closed,48,32,5
CMP000215,2026-05-01,C00424,P0066,E0002,R002,Wrong Product,High,Closed,72,38,4
CMP000216,2026-02-20,C00046,P0145,E0032,R001,Refund Delay,High,Closed,72,40,1
CMP000217,2026-08-17,C00416,P0127,E0009,R002,Product Quality,Critical,Closed,72,41,5
CMP000218,2025-08-29,C00317,P0075,E0009,R002,Billing Issue,Low,Closed,72,21,1
CMP000219,2025-06-03,C00444,P0088,E0045,R003,Damaged Product,Medium,Closed,72,102,3
CMP000220,2025-09-24,C00077,P0137,E0115,R005,Refund Delay,Critical,Pending,48,20,
CMP000221,2025-08-27,C00027,P0136,E0069,R007,Wrong Product,Medium,Closed,24,109,3
CMP000222,2025-12-20,C00461,P0112,E0010,R004,Damaged Product,Low,Pending,72,88,
CMP000223,2026-03-30,C00003,P0144,E0069,R007,Product Quality,Critical,Pending,72,53,
CMP000224,2025-09-10,C00191,P0148,E0081,R007,Damaged Product,Critical,Closed,24,88,3
CMP000225,2025-08-23,C00090,P0010,E0092,R003,Refund Delay,Medium,Closed,24,87,3
CMP000226,2026-02-01,C00410,P0136,E0037,R004,Product Quality,Low,Closed,24,113,4
CMP000227,2025-07-29,C00130,P0148,E0034,R001,Billing Issue,Critical,Closed,24,94,1
CMP000228,2026-07-20,C00338,P0126,E0044,R001,Wrong Product,Critical,Closed,72,94,4
CMP000229,2025-08-25,C00067,P0135,E0021,R001,Damaged Product,Critical,Closed,72,29,2
CMP000230,2025-09-05,C00510,P0049,E0094,R002,Wrong Product,Critical,Closed,72,23,2
CMP000231,2026-07-26,C00161,P0122,E0017,R002,Delivery Delay,Critical,Closed,24,4,4
CMP000232,2026-04-11,C00091,P0118,E0004,R008,Billing Issue,Low,Closed,48,62,5
CMP000233,2026-01-24,C00136,P0135,E0094,R002,Billing Issue,High,Pending,48,127,
CMP000234,2025-11-12,C00051,P0085,E0056,R003,Damaged Product,Critical,Closed,72,63,3
CMP000235,2025-12-15,C00297,P0087,E0001,R002,Wrong Product,Medium,Closed,24,91,2
CMP000236,2025-07-30,C00574,P0067,E0042,R005,Product Quality,Low,Pending,24,102,
CMP000237,2026-08-09,C00249,P0148,E0046,R004,Refund Delay,Medium,Pending,72,54,
CMP000238,2026-02-28,C00211,P0109,E0059,R006,Damaged Product,Medium,Closed,24,29,4
CMP000239,2025-12-13,C00586,P0065,E0017,R002,Refund Delay,Low,Closed,24,118,2
CMP000240,2025-12-19,C00312,P0051,E0097,R001,Refund Delay,Low,Open,72,107,
CMP000241,2026-01-30,C00506,P0117,E0071,R007,Wrong Product,High,Closed,24,56,1
CMP000242,2026-01-05,C00080,P0129,E0083,R004,Billing Issue,Critical,Closed,72,111,5
CMP000243,2025-12-23,C00090,P0059,E0018,R003,Damaged Product,Medium,Closed,24,41,5
CMP000244,2025-12-19,C00497,P0017,E0085,R005,Refund Delay,Medium,Closed,24,60,3
CMP000245,2026-02-22,C00324,P0142,E0029,R006,Delivery Delay,Low,Closed,24,128,2
CMP000246,2026-06-18,C00475,P0021,E0034,R001,Delivery Delay,Medium,Closed,72,109,4
CMP000247,2026-02-13,C00278,P0008,E0045,R003,Billing Issue,High,Closed,48,100,3
CMP000248,2025-12-12,C00164,P0053,E0087,R002,Damaged Product,Critical,Pending,48,69,
CMP000249,2025-08-19,C00014,P0122,E0075,R001,Delivery Delay,High,Open,72,96,
CMP000250,2025-08-02,C00169,P0117,E0067,R007,Product Quality,Critical,Closed,24,84,1
CMP000251,2025-08-22,C00120,P0012,E0078,R002,Billing Issue,Medium,Closed,72,69,2
CMP000252,2026-05-15,C00516,P0014,E0045,R003,Delivery Delay,Low,Closed,72,40,5
CMP000253,2026-01-31,C00298,P0104,E0082,R008,Product Quality,Critical,Closed,48,131,4
CMP000254,2026-05-29,C00113,P0115,E0115,R005,Refund Delay,Low,Closed,48,13,2
CMP000255,2026-07-10,C00217,P0035,E0105,R005,Wrong Product,Low,Closed,72,113,4
CMP000256,2026-02-12,C00477,P0149,E0075,R001,Refund Delay,Critical,Closed,72,85,3
CMP000257,2025-11-07,C00156,P0085,E0030,R003,Billing Issue,Critical,Pending,24,20,
CMP000258,2026-01-12,C00273,P0148,E0048,R005,Delivery Delay,High,Closed,24,56,1
CMP000259,2025-08-01,C00068,P0026,E0013,R004,Wrong Product,Low,Closed,72,74,2
CMP000260,2026-06-11,C00517,P0122,E0073,R006,Refund Delay,High,Closed,72,116,4
CMP000261,2026-08-14,C00228,P0090,E0043,R001,Refund Delay,Medium,Pending,48,9,
CMP000262,2025-12-31,C00201,P0051,E0002,R002,Damaged Product,Critical,Closed,48,110,5
CMP000263,2025-06-14,C00563,P0046,E0080,R001,Product Quality,Medium,Closed,24,107,5
CMP000264,2025-12-27,C00307,P0104,E0087,R002,Refund Delay,Medium,Closed,24,118,1
CMP000265,2026-07-04,C00091,P0041,E0084,R006,Delivery Delay,High,Pending,72,107,
CMP000266,2025-08-06,C00362,P0034,E0058,R008,Refund Delay,High,Open,72,110,
CMP000267,2025-10-04,C00081,P0021,E0090,R003,Wrong Product,High,Closed,48,55,2
CMP000268,2025-08-19,C00156,P0124,E0007,R002,Product Quality,Medium,Open,72,71,
CMP000269,2025-10-03,C00411,P0089,E0032,R001,Refund Delay,Critical,Closed,72,7,2
CMP000270,2025-09-03,C00377,P0024,E0040,R005,Damaged Product,Low,Closed,24,61,4
CMP000271,2025-11-11,C00425,P0146,E0046,R004,Product Quality,Medium,Closed,72,105,1
CMP000272,2025-12-27,C00212,P0074,E0067,R007,Wrong Product,Low,Open,48,89,
CMP000273,2026-05-25,C00027,P0087,E0063,R004,Refund Delay,High,Closed,48,129,4
CMP000274,2026-04-15,C00132,P0119,E0004,R008,Product Quality,Critical,Open,48,20,
CMP000275,2026-04-19,C00049,P0147,E0067,R007,Damaged Product,High,Closed,24,139,4
CMP000276,2026-04-21,C00569,P0069,E0094,R002,Billing Issue,Critical,Pending,48,126,
CMP000277,2026-05-10,C00037,P0029,E0068,R007,Wrong Product,Low,Closed,48,49,4
CMP000278,2026-02-16,C00383,P0001,E0117,R004,Product Quality,Medium,Closed,72,67,5
CMP000279,2026-01-16,C00477,P0027,E0015,R008,Wrong Product,High,Closed,48,109,5
CMP000280,2026-08-30,C00266,P0045,E0065,R005,Wrong Product,Medium,Closed,24,51,3
CMP000281,2026-02-07,C00553,P0121,E0112,R002,Wrong Product,High,Open,48,26,
CMP000282,2026-03-25,C00474,P0027,E0107,R005,Refund Delay,Low,Closed,72,57,5
CMP000283,2026-04-06,C00319,P0089,E0090,R003,Billing Issue,Low,Closed,24,74,5
CMP000284,2026-02-22,C00294,P0032,E0059,R006,Billing Issue,Low,Closed,72,78,1
CMP000285,2026-05-22,C00031,P0005,E0055,R005,Delivery Delay,High,Closed,24,113,3
CMP000286,2025-07-28,C00316,P0017,E0104,R001,Damaged Product,Low,Closed,72,114,2
CMP000287,2026-02-24,C00438,P0111,E0045,R003,Product Quality,Critical,Closed,48,135,3
CMP000288,2026-04-11,C00351,P0139,E0012,R004,Refund Delay,Medium,Pending,48,105,
CMP000289,2025-12-14,C00466,P0006,E0115,R005,Billing Issue,Low,Closed,24,44,3
CMP000290,2025-11-13,C00463,P0094,E0074,R005,Delivery Delay,Critical,Closed,24,85,5
CMP000291,2026-02-20,C00431,P0044,E0044,R001,Damaged Product,Low,Pending,24,26,
CMP000292,2025-11-03,C00518,P0112,E0051,R006,Billing Issue,Critical,Closed,24,128,2
CMP000293,2026-04-12,C00594,P0044,E0047,R003,Refund Delay,Critical,Closed,72,109,4
CMP000294,2026-08-17,C00182,P0024,E0107,R005,Wrong Product,Critical,Closed,72,21,3
